Using device: cuda

[Data Distribution] Real: 2786  Fake: 8358  Total: 11144
[Val set] 10786 videos
[Manipulation types] ['real', 'faceswap', 'faceswap-wav2lip', 'fsgan', 'fsgan-wav2lip', 'rtvc', 'wav2lip', 'video_retalking', 'unknown_fake']

[DataLoader] batch_size=8 num_workers=4
Starting Stage A Training (frozen backbone, cached features)...
  Batch 770/1393 | Loss: 0.5858 (bce=0.3339 aux_ce=0.6296)
  Batch 780/1393 | Loss: 0.1649 (bce=0.1254 aux_ce=0.0987)
  Batch 790/1393 | Loss: 0.5410 (bce=0.2012 aux_ce=0.8495)
  Batch 800/1393 | Loss: 0.0963 (bce=0.0676 aux_ce=0.0718)
  Batch 810/1393 | Loss: 0.6431 (bce=0.4762 aux_ce=0.4174)
  Batch 820/1393 | Loss: 0.2801 (bce=0.0769 aux_ce=0.5078)
  Batch 830/1393 | Loss: 0.2166 (bce=0.1164 aux_ce=0.2505)
  Batch 840/1393 | Loss: 0.1388 (bce=0.1016 aux_ce=0.0931)
  Batch 850/1393 | Loss: 0.1060 (bce=0.0172 aux_ce=0.2221)
  Batch 860/1393 | Loss: 0.3495 (bce=0.2200 aux_ce=0.3239)
  Batch 870/1393 | Loss: 0.4725 (bce=0.2318 aux_ce=0.6019)
  Batch 880/1393 | Loss: 0.3315 (bce=0.2444 aux_ce=0.2176)
  Batch 890/1393 | Loss: 0.3914 (bce=0.2869 aux_ce=0.2612)
  Batch 900/1393 | Loss: 0.2091 (bce=0.0353 aux_ce=0.4345)
  Batch 910/1393 | Loss: 0.1920 (bce=0.0300 aux_ce=0.4050)
  Batch 920/1393 | Loss: 0.1169 (bce=0.0175 aux_ce=0.2484)
  Batch 930/1393 | Loss: 0.1716 (bce=0.1120 aux_ce=0.1492)
  Batch 940/1393 | Loss: 0.6616 (bce=0.3895 aux_ce=0.6803)
  Batch 950/1393 | Loss: 0.5614 (bce=0.4252 aux_ce=0.3404)
  Batch 960/1393 | Loss: 0.3171 (bce=0.1830 aux_ce=0.3353)
  Batch 970/1393 | Loss: 0.4292 (bce=0.3151 aux_ce=0.2853)
